maze,algorithm,execution_time (s),peak_memory (kB),path_length,total_moves,epochs
140x140-780250,MDPPolicyIteration,127.18608045578003,27.94831411200867,483,,286
150x150-222538,DFS,0.15089702606201172,0.6364883401920439,2685,26698,
150x150-222538,BFS,32.173147201538086,37.8927331538214,505,3609055,
150x150-222538,AStar,0.3093266487121582,26.805534386695793,505,20536,
150x150-222538,MDPValueIteration,67.43215489387512,54.38479906518315,505,,402
150x150-222538,MDPPolicyIteration,153.7335000038147,54.38479906518315,505,,269
160x160-567603,DFS,0.19135642051696777,0.9052820538874494,5819,32806,
160x160-567603,BFS,2.741818428039551,32.34669511761418,539,414041,
160x160-567603,AStar,0.38570475578308105,61.853443750105846,539,24784,
160x160-567603,MDPValueIteration,81.11952900886536,54.38479906518315,539,,430
160x160-567603,MDPPolicyIteration,183.3485870361328,54.803569916510014,539,,285
170x170-627323,DFS,0.29019784927368164,0.8050263340615421,3409,50700,
170x170-627323,BFS,4.1269471645355225,32.59814730139376,601,593035,
170x170-627323,AStar,0.37081408500671387,63.111111111111114,601,23895,
170x170-627323,MDPValueIteration,100.49947452545166,56.01368355094921,601,,470
170x170-627323,MDPPolicyIteration,240.74941968917847,56.144828870937694,601,,322
180x180-382608,DFS,0.23918366432189941,1.1448119358498874,8099,42158,
