maze,algorithm,execution_time (s),peak_memory (kB),path_length,total_moves,epochs
160x160-174150,MDPPolicyIteration,197.3851718902588,54.804382800724824,601,,300
170x170-882055,DFS,0.1879723072052002,0.9052820538874494,6097,32208,
170x170-882055,BFS,82.71105551719666,37.954105912039154,587,7344037,
170x170-882055,AStar,0.5235345363616943,63.01234567901235,587,24087,
170x170-882055,MDPValueIteration,105.2282783985138,55.77848905146573,587,,463
170x170-882055,MDPPolicyIteration,222.81989908218384,56.1456417551525,587,,308
180x180-730230,DFS,0.22289609909057617,1.148063472709106,7819,36514,
180x180-730230,BFS,430.6824085712433,147.31792240342767,591,16922892,
180x180-730230,AStar,0.5215053558349609,62.42219173906417,591,27997,
180x180-730230,MDPValueIteration,113.85208559036255,57.492590899083815,591,,475
180x180-730230,MDPPolicyIteration,271.15463614463806,57.56859557316805,591,,317
190x190-959374,DFS,0.2654902935028076,1.2878795576555064,8991,44180,
190x190-959374,BFS,5.340682744979858,32.629578824366206,593,772178,
190x190-959374,AStar,0.5146148204803467,62.14012091652695,593,27443,
190x190-959374,MDPValueIteration,129.6503987312317,58.78995410591204,593,,486
190x190-959374,MDPPolicyIteration,307.3731505870819,59.07202492844925,593,,329
200x200-278436,DFS,0.3170325756072998,1.2878795576555064,8935,56616,
200x200-278436,BFS,116.83330821990967,35.064979931920945,689,11857512,
200x200-278436,AStar,0.7198097705841064,61.70224728615218,689,39023,
200x200-278436,MDPValueIteration,163.54646944999695,61.94936408745279,689,,548
200x200-278436,MDPPolicyIteration,387.122731924057,61.990008298193025,689,,356
10x10-935842,DFS,0.0005390644073486328,0.011109417602330269,35,82,
10x10-935842,BFS,0.0006546974182128906,0.11746176903927247,27,111,
10x10-935842,AStar,0.0011756420135498047,0.21338210638622163,27,97,
10x10-935842,MDPValueIteration,0.009763002395629883,0.19468576944571458,27,,23
10x10-935842,MDPPolicyIteration,0.01759028434753418,0.20159528527155413,27,,18
20x20-561847,DFS,0.0022475719451904297,0.03061863875764196,111,276,
20x20-561847,BFS,0.0017087459564208984,0.23722671002049145,81,302,
20x20-561847,AStar,0.0020759105682373047,0.40793239512946877,81,194,
20x20-561847,MDPValueIteration,0.1710054874420166,0.7821300953445444,81,,60
20x20-561847,MDPPolicyIteration,0.3076515197753906,0.7924266287320699,81,,46
30x30-51211,DFS,0.0019822120666503906,0.03441209842673034,197,360,
30x30-51211,BFS,0.023547887802124023,0.9455198225202798,147,3527,
30x30-51211,AStar,0.011925220489501953,1.5969110399837423,147,897,
30x30-51211,MDPValueIteration,0.7574329376220703,1.5626344222594795,147,,103
30x30-51211,MDPPolicyIteration,1.3143467903137207,1.6202137208081424,147,,77
40x40-956098,DFS,0.013298988342285156,0.07830784602618164,471,2026,
40x40-956098,BFS,0.04188346862792969,1.8857558976443294,157,5214,
40x40-956098,AStar,0.022283315658569336,3.1653711324493217,157,1436,
40x40-956098,MDPValueIteration,1.6632428169250488,3.1232366339819473,157,,118
40x40-956098,MDPPolicyIteration,3.32395339012146,3.1526359464173823,157,,95
50x50-249435,DFS,0.014499187469482422,0.1390032007315958,935,1946,
50x50-249435,BFS,0.10857081413269043,1.900387813510813,171,13184,
50x50-249435,AStar,0.04113292694091797,3.190841504513201,171,2251,
50x50-249435,MDPValueIteration,3.349034309387207,3.1232366339819473,171,,143
50x50-249435,MDPPolicyIteration,7.243140459060669,3.5188402851868785,171,,118
60x60-256751,DFS,0.03502058982849121,0.1563447306474284,887,4726,
60x60-256751,BFS,0.15148305892944336,3.804704567393182,195,18544,
60x60-256751,AStar,0.05877113342285156,6.325323036799946,195,3081,
60x60-256751,MDPValueIteration,5.339433908462524,6.244847499534285,195,,158
60x60-256751,MDPPolicyIteration,10.341962814331055,6.462971430506867,195,,104
70x70-853491,DFS,0.03561687469482422,0.1758539518027401,977,5312,
70x70-853491,BFS,1.3854093551635742,3.916882589036224,247,165008,
70x70-853491,AStar,0.06796979904174805,6.324510152585141,247,3622,
70x70-853491,MDPValueIteration,9.136563062667847,6.244847499534285,247,,193
70x70-853491,MDPPolicyIteration,18.303112030029297,6.991752612237295,247,,138
80x80-71219,DFS,0.06758642196655273,0.2495554539450287,1609,8690,
80x80-71219,BFS,0.34802699089050293,7.570526173178208,253,41813,
80x80-71219,AStar,0.10318970680236816,6.381412047621467,253,5057,
80x80-71219,MDPValueIteration,12.959213972091675,12.487662788531559,253,,206
80x80-71219,MDPPolicyIteration,25.083001375198364,12.59509898558824,253,,135
90x90-71172,DFS,0.049455881118774414,0.35414655624989416,2261,6370,
90x90-71172,BFS,0.39148521423339844,7.56456502226964,341,45969,
90x90-71172,AStar,0.17038440704345703,12.732476417890227,341,7849,
90x90-71172,MDPValueIteration,21.08798313140869,12.487662788531559,341,,265
90x90-71172,MDPPolicyIteration,46.648640632629395,13.286050568172197,341,,190
100x100-83271,DFS,0.12947440147399902,0.2907415874951312,1103,17702,
100x100-83271,BFS,0.7551753520965576,7.611170383918441,317,87016,
100x100-83271,AStar,0.16580724716186523,12.781113990076038,317,7426,
100x100-83271,MDPValueIteration,24.973991870880127,12.487662788531559,317,,258
100x100-83271,MDPPolicyIteration,55.99774408340454,14.058290572236617,317,,174
110x110-338984,DFS,0.08807015419006348,0.5031753289640807,3553,14848,
110x110-338984,BFS,2.2576828002929688,15.38559501431015,479,342784,
110x110-338984,AStar,0.1993408203125,28.146251418313604,479,11989,
110x110-338984,MDPValueIteration,30.398375034332275,24.97369980863351,479,,349
110x110-338984,MDPPolicyIteration,68.62213468551636,24.97369980863351,479,,251
120x120-570850,DFS,0.08144664764404297,0.5660383749089739,3671,12484,
120x120-570850,BFS,0.9997913837432861,15.139020135819404,401,149023,
120x120-570850,AStar,0.1955881118774414,27.297464817355078,401,11084,
120x120-570850,MDPValueIteration,33.51048183441162,24.97369980863351,401,,321
120x120-570850,MDPPolicyIteration,74.13360834121704,25.835221595623974,401,,224
130x130-868672,DFS,0.09463906288146973,0.6364883401920439,4005,16420,
130x130-868672,BFS,5.115000486373901,15.506985723720977,459,765759,
130x130-868672,AStar,0.29306912422180176,27.52669816592999,459,15596,
130x130-868672,MDPValueIteration,44.02237033843994,25.191010855391283,459,,359
130x130-868672,MDPPolicyIteration,96.20612168312073,26.852139748344594,459,,249
140x140-913891,DFS,0.1307389736175537,0.7156090704330302,4895,22014,
140x140-913891,BFS,1.8194193840026855,15.118427069044353,447,267937,
140x140-913891,AStar,0.2893226146697998,26.321461836779623,447,16235,
140x140-913891,MDPValueIteration,53.68294095993042,27.03571610018798,447,,371
140x140-913891,MDPPolicyIteration,118.92740488052368,27.949533438330878,447,,257
150x150-465913,DFS,0.11601948738098145,0.7156090704330302,4929,20380,
150x150-465913,BFS,1.1547479629516602,32.270284001422546,505,177620,
150x150-465913,AStar,0.35375022888183594,27.07283781266406,505,19327,
150x150-465913,MDPValueIteration,65.99137735366821,54.38479906518315,505,,402
150x150-465913,MDPPolicyIteration,139.97203946113586,54.38479906518315,505,,262
160x160-508632,DFS,0.15934967994689941,1.0180019983403614,6139,28236,
160x160-508632,BFS,2.9321653842926025,32.579180003048315,519,441723,
160x160-508632,AStar,0.4257845878601074,61.989059933275755,519,22737,
160x160-508632,MDPValueIteration,79.56723475456238,54.38479906518315,519,,425
160x160-508632,MDPPolicyIteration,182.70860815048218,54.80478924283222,519,,293
170x170-653394,DFS,0.2316133975982666,1.0180019983403614,3897,41836,
170x170-653394,BFS,6.511261701583862,32.775897983031044,585,953581,
170x170-653394,AStar,0.5268824100494385,62.14174668495656,585,28271,
170x170-653394,MDPValueIteration,101.60066270828247,56.13182272350082,585,,475
170x170-653394,MDPPolicyIteration,240.0407817363739,56.17246693424105,585,,336
180x180-659265,DFS,0.20181560516357422,1.1448119358498874,8379,34562,
180x180-659265,BFS,33.65793538093567,34.36806719842843,633,4229515,
